CID,Descriptor,Institution,Institution type,Course_Title,Local_Course_ID,Approval date,COR effective term,GI01,CB00,Last_Updated
MATH 240,Ordinary Differential Equations,De Anza College,California Community College,Differential Equations - HONORS,MATH2AH,2023-09-01,Fall 2018,421,CCC000592257,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Foothill College,California Community College,Honors Calculus I + Calculus + Calculus,MATH1AH,2023-09-01,Summer 2018,422,CCC000562587,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Foothill College,California Community College,Honors Calculus I + Calculus + Calculus,MATH1B,2023-09-01,Summer 2018,422,CCC000191296,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Foothill College,California Community College,Honors Calculus I + Calculus + Calculus,MATH1C,2023-09-01,Summer 2018,422,CCC000184880,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals + Single Variable Calculus I Early Transcendentals,Foothill College,California Community College,Honors Calculus I + Honors Calculus II,MATH1AH,2023-09-01,Summer 2018 + Summer 2016,422,CCC000562587,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals + Single Variable Calculus I Early Transcendentals,Foothill College,California Community College,Honors Calculus I + Honors Calculus II,MATH1BH,2023-09-01,Summer 2018 + Summer 2016,422,NA,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Foothill College,California Community College,Calculus + Honors Calculus II + Honors Calculus I,MATH1C,2023-09-01,Summer 2018,422,CCC000184880,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Foothill College,California Community College,Calculus + Honors Calculus II + Honors Calculus I,MATH1BH,2023-09-01,Summer 2018,422,NA,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Foothill College,California Community College,Calculus + Honors Calculus II + Honors Calculus I,MATH1AH,2023-09-01,Summer 2018,422,CCC000562587,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals + Single Variable Calculus II Early Transcendentals,Foothill College,California Community College,Calculus  + Honors Calculus II,MATH1C,2023-09-01,Summer 2018,422,CCC000184880,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals + Single Variable Calculus II Early Transcendentals,Foothill College,California Community College,Calculus  + Honors Calculus II,MATH1BH,2023-09-01,Summer 2018,422,NA,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Foothill College,California Community College,Honors Calculus II + Calculus + Calculus,MATH1BH,2023-09-01,Summer 2018,422,NA,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Foothill College,California Community College,Honors Calculus II + Calculus + Calculus,MATH1C,2023-09-01,Summer 2018,422,CCC000184880,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Foothill College,California Community College,Honors Calculus II + Calculus + Calculus,MATH1A,2023-09-01,Summer 2018,422,CCC000196412,2023-10-07
MATH 250,Introduction to Linear Algebra,De Anza College,California Community College,Linear Algebra - HONORS,MATH2BH,2023-09-01,Fall 2018,421,CCC000592258,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Cabrillo College,California Community College,Analytic Geometry and Calculus I,MATH5A,2023-09-01,Spring 2011,411,CCC000370752,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Cabrillo College,California Community College,Analytic Geometry and Calculus I,MATH5A,2023-09-01,Spring 2011,411,CCC000521248,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Cabrillo College,California Community College,Analytic Geometry and Calculus II,MATH5B,2023-09-01,Spring 2011,411,CCC000358504,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Cabrillo College,California Community College,Analytic Geometry and Calculus II,MATH5B,2023-09-01,Spring 2011,411,CCC000521249,2023-10-07
MATH 250,Introduction to Linear Algebra,Lake Tahoe Community College,California Community College,Linear Algebra,MAT203,2023-09-01,Spring 2012,221,CCC000382726,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Hartnell College,California Community College,Analytic Geometry and Calculus II,MAT3B,2023-09-01,Spring 2011,451,CCC000164207,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Gavilan College,California Community College,Single-Variable Calculus and Analytic Geometry,MATH1A,2023-09-01,Fall 2007,441,CCC000242538,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Gavilan College,California Community College,Single-Variable Calculus and Analytic Geometry,MATH1B,2023-09-01,Fall 2007,441,CCC000204947,2023-10-07
MATH 230,Multivariable Calculus,San Bernardino Valley College,California Community College,Multivariable Calculus,MATH252,2023-09-01,Fall 2008,982,CCC000430394,2023-10-07
MATH 230,Multivariable Calculus,San Bernardino Valley College,California Community College,Multivariable Calculus,MATH252,2023-09-01,Fall 2008,982,CCC000431679,2023-10-07
MATH 230,Multivariable Calculus,San Bernardino Valley College,California Community College,Multivariable Calculus,MATH252,2023-09-01,Fall 2008,982,CCC000575045,2023-10-07
MATH 230,Multivariable Calculus,Las Positas College,California Community College,Multivariable Calculus,MATH3,2023-09-01,Fall 2021,481,CCC000365398,2023-10-07
MATH 240,Ordinary Differential Equations,Lake Tahoe Community College,California Community College,Differential Equations,MAT204,2023-09-01,Spring 2012,221,CCC000364160,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Ohlone College,California Community College,Calculus with Analytic Geometry,MATH101A,2023-09-01,Fall 2012,431,CCC000294873,2023-10-07
MATH 250,Introduction to Linear Algebra,Ohlone College,California Community College,Introduction to Linear Algebra,MATH103,2023-09-01,Fall 2007,431,CCC000232730,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Lake Tahoe Community College,California Community College,Calculus and Analytic Geometry (Part II) + Calculus and Analytic Geometry (Part III) + Calculus and Analytic Geometry (Part I),MAT106,2023-09-01,Fall 2007,221,CCC000363849,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Lake Tahoe Community College,California Community College,Calculus and Analytic Geometry (Part II) + Calculus and Analytic Geometry (Part III) + Calculus and Analytic Geometry (Part I),MAT107,2023-09-01,Fall 2007,221,CCC000382844,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Lake Tahoe Community College,California Community College,Calculus and Analytic Geometry (Part II) + Calculus and Analytic Geometry (Part III) + Calculus and Analytic Geometry (Part I),MAT105,2023-09-01,Fall 2007,221,CCC000382336,2023-10-07
MATH 230,Multivariable Calculus,Ohlone College,California Community College,Calculus with Analytic Geometry,MATH101C,2023-09-01,Spring 2011,431,CCC000083681,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Santiago Canyon College,California Community College,Single Variable Calculus II,MATH185,2023-09-01,Spring 2011,873,CCC000176482,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,City College of San Francisco,California Community College,Calculus I,MATH110A,2023-09-01,Summer 2011,361,CCC000382497,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,City College of San Francisco,California Community College,Calculus I,MATH110A,2023-09-01,Summer 2011,361,CCC000576383,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,City College of San Francisco,California Community College,Calculus II,MATH110B,2023-09-01,Summer 2011,361,CCC000376234,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,City College of San Francisco,California Community College,Calculus II,MATH110B,2023-09-01,Summer 2011,361,CCC000576042,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Las Positas College,California Community College,Calculus I + Calculus II,MATH1,2023-09-01,Spring 2011,481,CCC000348340,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Las Positas College,California Community College,Calculus I + Calculus II,MATH2,2023-09-01,Spring 2011,481,CCC000375566,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,American River College,California Community College,Calculus II,MATH401,2023-09-01,Fall 2012,231,CCC000333358,2023-10-07
