TOP_CODE,TOP_DESC,TOP_CODE_STRING
2203.00, Ethnic Studies,220300
2202.00, Anthropology,220200
1002.00, Art,100200
0949.00, Automotive Collision Repair,094900
0948.00, Automotive Technology,094800
0950.10, Aviation Airframe Mechanics,095010
0950.20, Aviation Powerplant Mechanics,095020
0401.00," Biology, General",040100
0505.00, Business Administration,050500
0502.00, Accounting,050200
0514.00, Office Technology/Office Computer Applications,051400
0702.00, Computer Information Systems,070200
1506.00, Speech Communication,150600
0947.00, Diesel Technology,094700
1501.00, English,150100
2206.00, Geography,220600
2205.00, History,220500
2104.50, Disability Services,210450
4903.00, Humanities,490300
4901.00," Liberal Arts and Sciences, General",490100
4901.10, Transfer Studies,490110
1701.00," Mathematics, General",170100
0510.00, Logistics and Materials Transportation,051000
1509.00, Philosophy,150900
2207.00, Political Science,220700
2001.00," Psychology, General",200100
2201.00," Social Sciences, General",220100
2208.00, Sociology,220800
1105.00, Spanish,110500
2133.10, Wildland Fire Technology,213310
2105.00, Administration of Justice,210500
0614.40, Animation,061440
0612.20, Film Production,061220
1030.00, Graphic Art and Design,103000
1012.00, Applied Photography,101200
0947.20, Heavy Equipment Maintenance,094720
0934.00, Electronics and Electric Technology,093400
0501.00," Business and Commerce, General",050100
4930.12,2 Job Seeking/Changing Skills,493012
1905.00," Chemistry, General",190500
0924.00," Engineering Technology, General (requires Trigonometry)",092400
1303.00, Fashion,130300
0934.30, Telecommunications Technology,093430
0701.00," Information Technology, General",070100
0514.10, Legal Office Technology,051410
0706.00, Computer Science (Transfer),070600
1306.00," Nutrition, Foods, and Culinary Arts",130600
1008.00, Dance,100800
1240.10, Dental Assistant,124010
1306.20, Dietetic Services and Management,130620
0802.00, Educational Aide (Teacher Assistant),080200
0802.10," Educational Aide (Teacher Assistant), Bilingual",080210
1305.00, Child Development/Early Care and Education,130500
1305.90, Infants and Toddlers,130590
1305.20, Children with Special Needs,130520
0952.20, Electrical,095220
0708.10, Computer Networking,070810
1251.00, Paramedic,125100
0901.00," Engineering, General (requires Calculus) (Transfer)",090100
0506.40, Small Business and Entrepreneurship,050640
0301.00, Environmental Science,030100
0302.00, Environmental Studies,030200
0835.00, Physical Education,083500
1301.00," Family and Consumer Sciences, General",130100
2104.00, Human Services,210400
2133.00, Fire Technology,213300
0109.20, Floriculture / Floristry,010920
0109.00, Horticulture,010900
1302.00, Interior Design and Merchandising,130200
0952.00, Construction Crafts Technology,095200
2210.00, International Studies,221000
1230.10, Registered Nursing,123010
4902.00, Biological and Physical Sciences (and Mathematics),490200
4901.20, Liberal Studies,490120
0956.30, Machining and Machine Tools,095630
0506.00, Business Management,050600
0509.00, Marketing and Distribution,050900
1208.00, Medical Assisting,120800
1208.20, Administrative Medical Assisting,120820
1208.10, Clinical Medical Assisting,120810
1004.00, Music,100400
1402.00, Paralegal,140200
1221.00, Pharmacy Technology,122100
1902.00," Physics, General",190200
0952.30," Plumbing, Pipefitting and Steamfitting",095230
0836.00, Recreation,083600
1307.10, Restaurant and Food Services and Management,130710
1005.00, Commercial Music,100500
0999.00, Other Engineering and Related Industrial Technologies,099900
1230.20, Licensed Vocational Nursing,123020
0956.50, Welding Technology,095650
1102.00, French,110200
1007.00, Dramatic Arts,100700
0509.10, Advertising,050910
0956.40, Sheet Metal and Structural Metal,095640
0614.00, Digital Media,061400
0614.60, Computer Graphics and Digital Imagery,061460
0614.30, Website Design and Development,061430
0430.00, Biotechnology and Biomedical Technology,043000
0707.10, Computer Programming,070710
0707.20, Database Design and Administration,070720
0702.10, Software Applications,070210
0708.20, Computer Support,070820
0952.10, Carpentry,095210
2104.40, Alcohol and Controlled Substances,210440
1006.00, Technical Theater,100600
0953.00, Drafting Technology,095300
0952.80, Drywall and Insulation,095280
1305.80, Child Development Administration and Management,130580
1303.10, Fashion Design,130310
0612.00, Film Studies,061200
2133.50, Fire Academy,213350
0835.20, Fitness Trainer,083520
1255.00, Mortuary Science,125500
2206.10, Geographic Information Systems,220610
1914.00, Geology,191400
1309.00, Gerontology,130900
1299.00, Other Health Occupations,129900
1001.00," Fine Arts, General",100100
1306.30, Culinary Arts,130630
0708.00, Computer Infrastructure and Support,070800
0602.00, Journalism,060200
0109.10, Landscape Design and Maintenance,010910
1101.00," Foreign Languages, General",110100
2207.10, Student Government,220710
